type	total_value
confederate	213000
confederate	208000
confederate	243000
confederate	266000
confederate	256000
confederate	293000
confederate	907000
confederate	1493000
confederate	3090000
confederate	382000
confederate	200000
confederate	200000
confederate	184000
confederate	820000
confederate	2012000
confederate	5000
confederate	1139000
confederate	1029000
confederate	413000
confederate	778000
confederate	600000
confederate	179000
confederate	427000
confederate	532000
confederate	63000
confederate	59000
confederate	59000
confederate	17000
confederate	59000
confederate	17000
confederate	17000
confederate	11000
confederate	193000
confederate	157000
confederate	201000
confederate	111000
confederate	157000
confederate	32000
confederate	30000
confederate	178000
confederate	201000
confederate	530000
confederate	60000
confederate	58000
confederate	122000
confederate	159000
confederate	151000
confederate	105000
confederate	149000
confederate	148000
confederate	106000
confederate	124000
confederate	75000
confederate	78000
confederate	103000
confederate	156000
confederate	157000
confederate	106000
confederate	54000
confederate	94000
confederate	94000
confederate	94000
confederate	94000
confederate	95000
confederate	92000
confederate	93000
confederate	93000
confederate	160000
confederate	106000
confederate	96000
confederate	106000
confederate	95000
confederate	96000
confederate	160000
confederate	96000
confederate	178000
confederate	126000
confederate	121000
confederate	155000
confederate	140000
confederate	319000
confederate	150000
confederate	154000
confederate	146000
confederate	146000
confederate	146000
confederate	149000
confederate	150000
confederate	148000
confederate	147000
confederate	149000
confederate	147000
confederate	147000
confederate	147000
confederate	149000
confederate	147000
confederate	147000
confederate	153000
confederate	150000
confederate	147000
confederate	147000
confederate	147000
confederate	149000
confederate	147000
confederate	148000
confederate	147000
confederate	153000
confederate	150000
confederate	148000
confederate	149000
confederate	146000
confederate	146000
confederate	146000
confederate	146000
confederate	146000
confederate	148000
confederate	148000
confederate	149000
confederate	147000
confederate	219000
confederate	204000
confederate	177000
confederate	206000
confederate	215000
confederate	197000
confederate	180000
confederate	180000
confederate	178000
confederate	482000
confederate	630000
confederate	540000
confederate	455000
confederate	518000
confederate	395000
confederate	635000
confederate	480000
confederate	554000
confederate	457000
confederate	669000
confederate	474000
confederate	478000
confederate	430000
confederate	449000
confederate	388000
confederate	545000
confederate	482000
confederate	480000
confederate	481000
confederate	471000
confederate	515000
confederate	498000
confederate	492000
confederate	465000
confederate	560000
confederate	399000
confederate	628000
confederate	479000
confederate	518000
confederate	483000
confederate	628000
confederate	579000
confederate	410000
confederate	364000
confederate	570000
confederate	577000
confederate	397000
confederate	643000
confederate	514000
confederate	561000
confederate	501000
confederate	403000
confederate	534000
confederate	580000
confederate	498000
confederate	499000
confederate	494000
confederate	485000
confederate	497000
confederate	510000
confederate	492000
confederate	611000
confederate	655000
confederate	721000
confederate	625000
confederate	587000
confederate	582000
confederate	696000
confederate	1056000
confederate	583000
confederate	493000
confederate	488000
confederate	549000
confederate	460000
confederate	447000
confederate	698000
confederate	576000
confederate	681000
confederate	495000
confederate	647000
confederate	540000
confederate	710000
confederate	649000
confederate	666000
confederate	753000
confederate	437000
confederate	666000
confederate	615000
confederate	519000
confederate	427000
confederate	694000
confederate	705000
confederate	697000
confederate	655000
confederate	2000
confederate	115000
confederate	19000
confederate	29000
confederate	122000
confederate	100000
confederate	30000
confederate	112000
confederate	132000
confederate	92000
confederate	85000
confederate	92000
confederate	57000
confederate	150000
confederate	162000
confederate	1000
confederate	127000
confederate	97000
confederate	111000
confederate	155000
confederate	96000
confederate	101000
confederate	124000
confederate	109000
confederate	97000
confederate	102000
confederate	118000
confederate	115000
confederate	102000
confederate	110000
confederate	109000
confederate	147000
confederate	99000
confederate	3497000
confederate	97000
confederate	94000
confederate	92000
confederate	91000
confederate	114000
confederate	120000
confederate	30000
confederate	30000
confederate	25000
confederate	105000
confederate	223000
confederate	99000
confederate	107000
confederate	160000
confederate	144000
confederate	107000
confederate	153000
confederate	73000
confederate	84000
confederate	77000
confederate	75000
confederate	6000
confederate	96000
confederate	35000
confederate	35000
confederate	20000
confederate	11000
confederate	137000
confederate	64000
confederate	71000
confederate	76000
confederate	91000
confederate	77000
confederate	81000
confederate	85000
confederate	78000
confederate	84000
confederate	114000
confederate	126000
confederate	24000
confederate	86000
confederate	78000
confederate	99000
confederate	83000
confederate	86000
confederate	116000
confederate	78000
confederate	95000
confederate	118000
confederate	84000
confederate	559000
confederate	106000
confederate	143000
confederate	117000
confederate	116000
confederate	109000
confederate	94000
confederate	76000
confederate	91000
confederate	87000
confederate	116000
confederate	112000
confederate	114000
confederate	63000
confederate	106000
confederate	112000
confederate	186000
confederate	118000
confederate	156000
confederate	163000
confederate	199000
confederate	10000
confederate	140000
confederate	111000
confederate	115000
confederate	151000
confederate	89000
confederate	91000
confederate	84000
confederate	94000
confederate	64000
confederate	155000
confederate	87000
confederate	138000
confederate	137000
confederate	178000
confederate	135000
confederate	120000
confederate	106000
confederate	126000
confederate	120000
confederate	78000
confederate	77000
confederate	101000
confederate	77000
confederate	125000
confederate	101000
confederate	99000
confederate	128000
confederate	110000
confederate	72000
confederate	61000
confederate	76000
confederate	96000
confederate	122000
confederate	76000
confederate	75000
confederate	90000
confederate	114000
confederate	106000
confederate	44000
confederate	46000
confederate	5000
confederate	133000
confederate	872000
confederate	28000
confederate	84000
confederate	87000
confederate	99000
confederate	67000
confederate	66000
confederate	66000
confederate	69000
confederate	125000
confederate	97000
confederate	98000
confederate	40000
confederate	71000
confederate	67000
confederate	59000
confederate	56000
confederate	65000
confederate	20000
confederate	10000
confederate	74000
confederate	53000
confederate	89000
confederate	77000
confederate	49000
confederate	48000
confederate	66000
confederate	74000
confederate	74000
confederate	55000
confederate	53000
confederate	44000
confederate	59000
confederate	77000
confederate	10000
confederate	79000
confederate	48000
confederate	42000
confederate	39000
confederate	40000
confederate	42000
confederate	60000
confederate	41000
confederate	54000
confederate	58000
confederate	52000
confederate	52000
confederate	62000
confederate	51000
confederate	51000
confederate	64000
confederate	51000
confederate	87000
confederate	60000
confederate	63000
confederate	42000
confederate	52000
confederate	51000
confederate	53000
confederate	53000
confederate	60000
confederate	53000
confederate	89000
confederate	78000
confederate	50000
confederate	53000
confederate	53000
confederate	69000
confederate	60000
confederate	56000
confederate	53000
confederate	47000
confederate	76000
confederate	58000
confederate	61000
confederate	56000
confederate	50000
confederate	56000
confederate	52000
confederate	116000
confederate	20000
confederate	86000
confederate	53000
confederate	46000
confederate	48000
confederate	53000
confederate	48000
confederate	39000
confederate	68000
confederate	61000
confederate	94000
confederate	61000
confederate	56000
confederate	31000
confederate	52000
confederate	44000
confederate	39000
confederate	52000
confederate	56000
confederate	45000
confederate	39000
confederate	52000
confederate	40000
confederate	56000
confederate	60000
confederate	38000
confederate	57000
confederate	47000
confederate	53000
confederate	53000
confederate	66000
confederate	64000
confederate	53000
confederate	53000
confederate	53000
confederate	101000
confederate	98000
confederate	107000
confederate	197000
confederate	85000
confederate	69000
confederate	68000
confederate	90000
confederate	114000
confederate	72000
confederate	80000
confederate	150000
confederate	102000
either	15000
either	10000
either	15000
either	30000
either	41000
either	47000
either	62000
either	45000
either	95000
either	53000
either	35000
either	36000
either	38000
either	39000
either	47000
either	39000
either	65000
either	40000
either	50000
either	12000
either	863000
either	202000
either	778000
either	720000
either	62000
either	689000
either	2000
either	150000
either	315000
either	166000
either	231000
either	1380000
either	161000
either	187000
either	175000
either	195000
either	195000
either	188000
either	206000
either	197000
either	181000
either	295000
either	191000
either	227000
either	197000
either	186000
either	189000
either	234000
either	184000
either	347000
either	318000
either	439000
either	391000
either	397000
either	397000
either	397000
either	414000
either	413000
either	343000
either	345000
either	894000
either	273000
either	343000
either	415000
either	362000
either	374000
either	414000
either	416000
either	301000
either	295000
either	294000
either	2000
either	2175000
either	1717000
either	247000
either	233000
either	273000
either	264000
either	352000
either	352000
either	207000
either	265000
either	293000
either	293000
either	432000
either	331000
either	326000
either	293000
either	277000
either	379000
either	269000
either	366000
either	299000
either	318000
either	274000
either	335000
either	335000
either	329000
either	353000
either	451000
either	477000
either	418000
either	722000
either	1238000
either	43997000
either	9000
either	49000
either	20000
either	26000
either	23000
either	16000
either	35000
either	35000
either	63000
either	1107000
either	150000
either	181000
either	181000
either	181000
either	184000
either	4225000
either	40000
either	35000
either	35000
either	35000
either	35000
either	35000
either	35000
either	35000
either	35000
either	22000
either	22000
either	29000
either	35000
either	242000
either	103000
either	103000
either	14000
either	174000
either	176000
either	227000
either	509000
either	209000
either	146000
either	209000
either	204000
either	203000
either	99000
either	211000
either	47000
either	47000
either	52000
either	53000
either	51000
either	52000
either	53000
either	56000
either	50000
either	53000
either	52000
either	52000
either	53000
either	2000
either	47000
either	52000
either	52000
either	56000
either	52000
either	52000
either	52000
either	53000
either	52000
either	59000
either	52000
either	50000
either	75000
either	54000
either	55000
either	52000
either	52000
either	58000
either	53000
either	52000
either	52000
either	54000
either	54000
either	54000
either	56000
either	52000
either	52000
either	52000
either	52000
either	57000
either	52000
either	52000
either	47000
either	52000
either	62000
either	10000
either	53000
either	54000
either	47000
either	47000
either	52000
either	52000
either	55000
either	650000
either	95000
either	93000
either	142000
either	147000
either	110000
either	146000
either	156000
either	108000
either	111000
either	157000
either	183000
either	183000
either	94000
either	106000
either	99000
either	129000
either	102000
either	109000
either	100000
either	142000
either	162000
either	158000
either	152000
either	305000
either	153000
either	141000
either	152000
either	136000
either	144000
either	95000
either	98000
either	106000
either	112000
either	92000
either	116000
either	102000
either	109000
either	110000
either	107000
either	106000
either	40000
either	40000
either	40000
either	151000
either	35000
either	155000
either	35000
either	35000
either	136000
either	142000
either	66000
either	65000
either	138000
either	125000
either	121000
either	187000
either	209000
either	35000
either	191000
either	157000
either	160000
either	150000
either	35000
either	30000
either	25000
either	25000
either	155000
either	152000
either	66000
either	25000
either	25000
either	25000
either	25000
either	183000
either	191000
either	25000
either	593000
either	194000
either	307000
either	370000
either	239000
either	283000
either	287000
either	301000
either	698000
either	316000
either	197000
either	183000
either	185000
either	610000
either	176000
either	339000
either	9975000
either	1022000
either	80000
either	341000
either	320000
either	298000
either	284000
either	294000
either	299000
either	318000
either	302000
either	297000
either	301000
either	316000
either	295000
either	299000
either	299000
either	569000
either	422000
either	418000
either	306000
either	611000
either	504000
either	358000
either	318000
either	318000
either	358000
either	51000
either	166000
either	300000
either	427000
either	104000
either	159000
either	181000
either	182000
either	167000
either	172000
either	222000
either	170000
either	172000
either	171000
either	180000
either	381000
either	172000
either	280000
either	2190000
either	193000
either	363000
either	172000
either	171000
either	113000
either	341000
either	354000
either	979000
either	453000
either	175000
either	320000
